SampleID;Genotype;Group;treatment;SliceID;mfPerimeter;mfArea;complexity;mean complexity;BoutonID;Animal
20201126_1;WT;WT_ctrl;ctrl;20201126_1_004_s4;9.658;2.815;3.43090586145648;;20201126_1_004;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_004_s5;9.242;2.74;3.37299270072993;;20201126_1_004;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_004_s6;9.018;2.382;3.78589420654912;;20201126_1_004;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_005_s1;22.785;8.288;2.74915540540541;2.46163232491909;20201126_1_005;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_005_s2;22.617;8.659;2.61196443007276;;20201126_1_005;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_005_s3;21.34;8.799;2.42527559949994;;20201126_1_005;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_005_s4;21.538;8.862;2.43037689009253;;20201126_1_005;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_005_s5;19.544;8.512;2.29605263157895;;20201126_1_005;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_005_s6;20.01;8.613;2.32323232323232;;20201126_1_005;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_005_s7;19.345;8.076;2.39536899455176;;20201126_1_005;3
