FileName;AZdist;BoutonID;Genotype;Treatment;Animal;Date;SampleID;Group
20201001_1_006-wtj-ctr-PairD;727.671997914727;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;748.946363953715;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;948.694573389882;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;916.312709368347;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;980.938959720069;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;516.760722042572;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;178.401206275098;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;380.176329969397;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;512.669937466836;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;859.13591649899;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;353.033094375032;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;651.615175159388;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;754.261645067545;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;801.867329310005;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;311.032511065708;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;651.828353106092;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;513.879050526483;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;741.404700784369;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;896.454668196134;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;1130.38808670784;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;262.301414847042;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;835.450142124496;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;890.356848301287;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;781.074597057899;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;740.88673535471;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_009-wtj-ctr-PairD;377.582115368882;20201001_1_009;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_010-wtj-ctr-PairD;171.059246330738;20201001_1_010;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_010-wtj-ctr-PairD;275.422096667715;20201001_1_010;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_010-wtj-ctr-PairD;379.75053105427;20201001_1_010;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_011-wtj-ctr-PairD;149.675792772245;20201001_1_011;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_011-wtj-ctr-PairD;365.421441764164;20201001_1_011;WT;Control;1;20201001;20201001_1;WT Control
